feature,selected,selection_reason
solar_da_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
