feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
wind_total_forecast_revision_id_minus_da_mw_regime_vol_28d,0.0,0.0,0.0,0.0,0.0016364606765622808,0.0,0.0074555847788573175,194.55555555555554,56.0,False,True,kept,5808,1.0,5808,regime_volatility,regime,wind_total_forecast_revision_id_minus_da_mw,True,kept,da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.3161652806376808,0.07112070976644114,regime_volatility,regime,wind_total_forecast_revision_id_minus_da_mw,regime_volatility,regime,wind_total_forecast_revision_id_minus_da_mw,False
wind_offshore_da_forecast_error_mw_rolling_median_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0016362158501116535,0.0,0.007780944827980725,118.55555555555556,37.0,False,True,kept,4704,0.8099173553719008,2985,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_mean_14d_same_local_qh,0.8503280953467212,0.050757190361603026,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,False
solar_forecast_revision_id_minus_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.001579335106814896,0.0,0.0073920807262893625,114.22222222222223,55.0,False,True,kept,3418,0.5884986225895317,3303,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_lag_2d_same_local_qh,0.5204781249399296,0.09615450413647056,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,False
wind_offshore_da_forecast_error_mw_lag_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0015409047914088812,0.0,0.009199979596166204,144.22222222222223,32.0,False,True,kept,2735,0.4709022038567493,2734,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_lag_14d_same_local_qh,0.8581980119710889,0.020063542569614973,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,False
solar_forecast_revision_id_minus_da_mw_lag_7d_same_local_qh,0.0,0.0,0.0,0.0,0.0014800469137395177,0.0,0.006806132087543638,121.66666666666667,66.0,False,True,kept,3318,0.5712809917355371,3203,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_median_28d_same_local_qh,0.2564468830920048,0.09084270739933964,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,False
wind_onshore_da_forecast_error_mw_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0014735533680365297,0.0,0.006885939054054093,105.0,62.0,False,True,kept,4704,0.8099173553719008,4176,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_std_3d_same_local_qh,0.2709945152150774,0.089497086393415,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,False
wind_onshore_id_forecast_error_mw_rolling_median_7d_same_local_qh,0.0,0.0,0.0,0.0,0.0014416101049587312,0.0,0.0065856131226326295,143.44444444444446,47.0,False,True,kept,4416,0.7603305785123967,3269,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_median_7d_same_local_qh,0.7474592168291443,0.06636997958599097,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,False
ida3_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,0.0,0.0,0.0,0.0,0.0014187294753401777,0.0,0.0067078842846007136,164.22222222222223,42.0,False,True,kept,5376,0.9256198347107438,3620,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,0.7556183773231513,0.18542048945532325,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False
solar_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.0,0.0,0.0,0.0,0.0014125221074625979,0.0,0.006810135895209171,112.66666666666667,44.0,False,True,kept,1485,0.2556818181818182,1438,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_lag_7d_same_local_qh,0.17214417800239204,0.1306626050623277,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,False
solar_da_forecast_error_mw_rolling_mean_28d_same_local_qh,0.0,0.0,0.0,0.0,0.0013821805481869396,0.0,0.012439624933682458,149.88888888888889,30.0,False,True,kept,2760,0.47520661157024796,2298,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,True,kept,solar_id_forecast_error_mw_rolling_mean_28d_same_local_qh,0.8547369633258503,0.06779011244249175,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,False
