timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida3_price_eur_mwh,da_price_eur_mwh,load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,wind_onshore_forecast_da_mw,ida3_price_eur_mwh_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,ida3_price_eur_mwh_regime_vol_7d_over_28d,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,ida3_price_eur_mwh_regime_abs_median_28d_over_vol,load_forecast_da_mw_lag_1d_same_local_qh,wind_offshore_forecast_id_mw_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh
2026-06-04 14:15:00+00:00,2026-06-04 16:15:00+02:00,2026-06-04,16,15,1,3,6,8.4,14.67,,24377.90711,70.08,1.4064016296728772,,12.227159659272198,0.8396170920429408,5.659999999999997,1.5995173595708074,58946.021679,1383.62,-6.27
2026-06-04 14:30:00+00:00,2026-06-04 16:30:00+02:00,2026-06-04,16,30,2,3,6,13.53,34.98,,24322.65923,89.51,0.9449842704728956,,5.346410010464973,0.6228110050417578,-8.039999999999992,2.028283745347947,58972.281982,1420.07,-21.449999999999996
2026-06-04 14:45:00+00:00,2026-06-04 16:45:00+02:00,2026-06-04,16,45,3,3,6,28.0,24.99,,24211.0785,98.83,1.437936907372767,,6.486578450924662,0.37847921978182125,-9.039999999999992,2.2600047734110533,58937.116095,1453.96,3.0100000000000016
2026-06-04 15:00:00+00:00,2026-06-04 17:00:00+02:00,2026-06-04,17,0,0,3,6,21.5,37.06,,24060.15869,83.99,0.6844165254071345,,10.314887299432788,0.43501123532082225,-2.2700000000000102,2.17202400023973,58811.433824,1504.93,-15.560000000000002
2026-06-04 15:15:00+00:00,2026-06-04 17:15:00+02:00,2026-06-04,17,15,1,3,6,27.98,62.0,,23829.57943,100.32,0.5468828355945465,,6.411055555314841,0.3996699694000126,-8.900000000000006,2.4238796968289367,59197.529045,1552.89,-34.019999999999996
2026-06-04 15:30:00+00:00,2026-06-04 17:30:00+02:00,2026-06-04,17,30,2,3,6,59.35,84.13,,23608.69813,115.99,0.6911124732839358,,0.8418432158068422,0.32674443903872014,-8.91000000000001,2.9948039572907725,58935.337883,1609.94,-24.779999999999994
2026-06-04 15:45:00+00:00,2026-06-04 17:45:00+02:00,2026-06-04,17,45,3,3,6,78.29,98.73,,23408.46761,131.26,0.41469583545859345,,3.162135354471729,0.5098386584788328,-15.449999999999989,4.767115805739624,58846.375505,1656.75,-20.439999999999998
2026-06-04 16:00:00+00:00,2026-06-04 18:00:00+02:00,2026-06-04,18,0,0,3,6,63.93,74.4,,23196.49215,115.98,0.5588933704557892,,3.623828546348936,0.5183027590593684,-1.1099999999999994,5.177446663164075,58955.252857,1701.96,-10.470000000000006
2026-06-04 16:15:00+00:00,2026-06-04 18:15:00+02:00,2026-06-04,18,15,1,3,6,80.64,91.71,,23037.65374,127.68,0.8915058095722493,,7.921422431188307,0.764919428850357,-13.009999999999991,9.820031171335684,58844.852814,1735.33,-11.069999999999993
2026-06-04 16:30:00+00:00,2026-06-04 18:30:00+02:00,2026-06-04,18,30,2,3,6,92.48,102.14,,22877.22339,142.06,0.49967513842714817,,4.452688326543123,0.9481527388247436,-5.0800000000000125,12.096267219787357,58978.308117,1767.1,-9.659999999999997
2026-06-04 16:45:00+00:00,2026-06-04 18:45:00+02:00,2026-06-04,18,45,3,3,6,101.61,117.29,,22718.74771,151.43,0.7484195769377947,,5.7502202856354545,1.1349517288135742,-15.150000000000006,10.91036242757482,59181.08974,1797.91,-15.680000000000007
2026-06-04 17:00:00+00:00,2026-06-04 19:00:00+02:00,2026-06-04,19,0,0,3,6,94.63,110.05,,22554.31698,136.02,1.3578411884794477,,27.58615413572541,1.0873746971518035,-9.699999999999989,13.208463224224964,59023.886468,1827.88,-15.420000000000002
2026-06-04 17:15:00+00:00,2026-06-04 19:15:00+02:00,2026-06-04,19,15,1,3,6,102.99,110.54,,22426.11491,150.38,1.4599599849766949,,30.01906449797084,1.132880473075107,-11.329999999999984,11.032908985571519,58779.276155,1842.12,-7.550000000000011
